propertyID,name,formerName,streetAddress,city,market,state,lat,lng
74439,Southgate Glen,,1712 Martin,Weatherford,DFW,TX,32.73712,-97.78927
74443,Canyon Oaks,,1021 Pecan Crossing,Desoto,DFW,TX,32.60729849,-96.82745174
74445,South Side on Lamar,,1401 South Lamar,Dallas,DFW,TX,32.76745987,-96.7957077
74452,Southwind Manor,,9877 Brockbank,Dallas,DFW,TX,32.87849426,-96.87698364
74453,Adira,Southwinds,1301 W Wheatland,Dallas,DFW,TX,32.64855957,-96.84295654
74457,Spanish Chase,,3200 W Pioneer,Irving,DFW,TX,32.82769012,-96.99098969
74459,Spanish Haven,,1551 W Airport Frwy,Irving,DFW,TX,32.83823776,-96.96575928
74463,Story Hill,,3604 N Country Club Rd,Irving,DFW,TX,32.85384849,-96.97810806
74466,Spanish Trace,,1929 E Grauwyler,Irving,DFW,TX,32.83070974,-96.9184792
74470,Villas at Monterey,,15534 El Estado,Dallas,DFW,TX,32.9608,-96.77008
74472,Spanish Village,,5720 Meadowbrook Dr,Fort Worth,DFW,TX,32.74601497,-97.23179005
74479,Spring Creek,,14833 Spring Creek Road,Dallas,DFW,TX,32.951705,-96.772346
74480,Giovanna,,1800 E. Spring Creek,Plano,DFW,TX,33.054344,-96.688545
74484,Casa San Luis,Spring Gardens,7803 Ferguson Rd,Dallas,DFW,TX,32.80038,-96.716476
74485,Spring Glen,,3200 Saint Juliet,Fort Worth,DFW,TX,32.75778987,-97.36273415
74487,Spring Hill,The Springs,3100 Hamilton Ave,Fort Worth,DFW,TX,32.75517,-97.36152
74490,Spring Hollow,,2703 N Buckner,Dallas,DFW,TX,32.814617,-96.688514
74492,South Pointe,Spring House,12660 Jupiter Rd,Dallas,DFW,TX,32.868064,-96.68103
74493,Spring Lake,,5301 Springlake Pkwy,Haltom City,DFW,TX,32.83651352,-97.2662735
74500,Spring Pointe,,3501 N Jupiter,Richardson,DFW,TX,32.99961472,-96.68395233
74505, Spring Valley,,807 S Main,Euless,DFW,TX,32.82470703,-97.08113861
74508,The Vineyard at Arlington,Springcrest,2007 Springcrest Dr,Arlington,DFW,TX,32.70820999,-97.07699585
74509,Springdale,,1909 Higgins Ln,Haltom City,DFW,TX,32.7881279,-97.28567505
74513,Slate,Springfield,18050 Kelly Blvd,Dallas,DFW,TX,32.998901,-96.865463
74514,Springfield,,2305 Driftwood Dr,Mesquite,DFW,TX,32.81729507,-96.63339996
74515,Bravo Apartment Living,Springfield at Ballpark Way,2108 Calais Way,Arlington,DFW,TX,32.76576675,-97.07194112
74517,Springfield Crossing,,1801 W Arkansas Ln,Arlington,DFW,TX,32.70747757,-97.13574982
74518,Addison at the Park,Cherrywood,3820 Spring Valley,Addison,DFW,TX,32.93969,-96.84986
74520,Spring Ridge,,3604 Legendary Ln,Dallas,DFW,TX,32.6992569,-96.84103394
74521,Springs,,4810 Cedar Springs,Dallas,DFW,TX,32.819778,-96.820365
74523,Springs of Indian Creek,,2057 Hebron Pkwy,Carrollton,DFW,TX,33.01194382,-96.94716644
74530,Spanish Timbers,Spruce Square,442 S St Augustine,Dallas,DFW,TX,32.70445,-96.65665
74533,The Atlantic Mansfield,Advenir at Walnut Creek,3251 Matlock Rd,Mansfield,DFW,TX,32.60918427,-97.11991882
74543,St. Andrews at River Park,,2801 Turnberry Dr,Arlington,DFW,TX,32.78477356,-97.09254719
74544,Pavilions at Vantage Point,St. Andrews,9000 Vantage Point Drive,Dallas,DFW,TX,32.918434,-96.749259
74546,La Hacinda,St. Augustine,1198 N St Augustine,Dallas,DFW,TX,32.732559,-96.655212
74547,Stonebriar of Frisco,,5200 Town and Country Blvd,Frisco,DFW,TX,33.088748,-96.846778
74548,St. Croix,,12250 Abrams Rd,Dallas,DFW,TX,32.915592,-96.734413
74549,Bella Vista Sol,St. Fr ancis,8943 Senate,Dallas,DFW,TX,32.801277,-96.68988
74550,Casa Place,,3303 Chapel Creek Dr,Dallas,DFW,TX,32.8720665,-96.86564636
74553,St. Laurent,,2825 N Hwy 360,Grand Prairie,DFW,TX,32.80092239,-97.05638123
74555,St. Moritz,,5665 Arapaho,Dallas,DFW,TX,32.962703,-96.813888
74562,The Hamptons,Stanford Court,18175 Midway Rd,Dallas,DFW,TX,32.996101,-96.845123
74570,Fountains at Steeplechase,Steeplechase,7301 Alma Dr,Plano,DFW,TX,33.07405472,-96.71201324
74571,Steeplechase,,7501 Ederville,Fort Worth,DFW,TX,32.75869751,-97.19322968
